,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Key,Y
0,45.0,3.0,39.0,5.0,1.0,3.0,12691.0,777.0,11914.0,1.335,1144.0,42.0,1.625,0.061,Existing Customer,M,High School,Married,$60K - $80K,Blue,1,0.9999100000000001
2,51.0,3.0,36.0,4.0,1.0,0.0,3418.0,0.0,3418.0,2.594,1887.0,20.0,2.333,0.0,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,3,0.99998
3,40.0,4.0,34.0,3.0,4.0,1.0,3313.0,2517.0,796.0,1.405,1171.0,20.0,2.333,0.76,Existing Customer,F,High School,Unknown,Less than $40K,Blue,4,0.99987
4,40.0,3.0,21.0,5.0,1.0,0.0,4716.0,0.0,4716.0,2.175,816.0,28.0,2.5,0.0,Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,5,0.99998
5,44.0,2.0,36.0,3.0,1.0,2.0,4010.0,1247.0,2763.0,1.376,1088.0,24.0,0.846,0.311,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,6,0.9999399999999999
6,51.0,4.0,46.0,6.0,1.0,3.0,34516.0,2264.0,32252.0,1.975,1330.0,31.0,0.722,0.066,Existing Customer,M,Unknown,Married,$120K +,Gold,7,0.9998799999999999
7,32.0,0.0,27.0,2.0,2.0,2.0,29081.0,1396.0,27685.0,2.204,1538.0,36.0,0.7140000000000001,0.048,Existing Customer,M,High School,Unknown,$60K - $80K,Silver,8,0.9999100000000001
9,48.0,2.0,36.0,6.0,3.0,3.0,11656.0,1677.0,9979.0,1.524,1441.0,32.0,0.882,0.14400000000000002,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,10,0.9997
10,42.0,5.0,31.0,5.0,3.0,2.0,6748.0,1467.0,5281.0,0.831,1201.0,42.0,0.68,0.217,Existing Customer,M,Uneducated,Unknown,$120K +,Blue,11,0.9998100000000001
11,65.0,1.0,54.0,6.0,2.0,3.0,9095.0,1587.0,7508.0,1.433,1314.0,26.0,1.364,0.174,Existing Customer,M,Unknown,Married,$40K - $60K,Blue,12,0.9998
13,35.0,3.0,30.0,5.0,1.0,3.0,8547.0,1666.0,6881.0,1.163,1311.0,33.0,2.0,0.195,Existing Customer,M,Graduate,Unknown,$60K - $80K,Blue,14,0.9999
14,57.0,2.0,48.0,5.0,2.0,2.0,2436.0,680.0,1756.0,1.19,1570.0,29.0,0.611,0.27899999999999997,Existing Customer,F,Graduate,Married,Less than $40K,Blue,15,0.99989
15,44.0,4.0,37.0,5.0,1.0,2.0,4234.0,972.0,3262.0,1.7069999999999999,1348.0,27.0,1.7,0.23,Existing Customer,M,Unknown,Unknown,$80K - $120K,Blue,16,0.9999399999999999
